Mrittika Dol,Bhumi,Bunot,N,P,K,S,Z,B,Crop
Amnura,mh,2,0.17,31.56,0.37,42.08,0.83,1.08,Mugg
Amnura,mh,2,0.1,7.14,0.12,6.59,0.58,0.23,Kheshari
Amnura,mh,2,0.15,24.83,0.15,6.24,2.83,0.45,Mugg
Amnura,mh,2,0.11,33.96,0.26,20.69,0.9,0.04,Mugg
Amnura,mh,2,0.13,26.61,0.19,11.82,3.03,0.05,Mugg
Amnura,mh,2,0.15,21.76,0.15,8.74,3.41,0.37,Mugg
Amnura,mh,2,0.16,10.5,0.17,4.42,1.38,0.04,Mugg
Amnura,mh,2,0.11,25.6,0.34,44.82,2.55,1.03,Mugg
Amnura,mh,2,0.12,20.63,0.12,7.4,0.53,0.37,Mugg
Amnura,mh,2,0.15,25.23,0.2,11.82,3.07,0.66,Mugg
Ekdala,mh,2,0.15,17.18,0.19,20.76,1.54,0.39,Mugg
Ekdala,mh,2,0.15,8.42,0.18,3.03,1.65,0.04,Kheshari
Ekdala,mh,2,0.1,8.85,0.16,2.41,0.54,0.14,Kheshari
Ekdala,mh,2,0.17,25.98,0.2,18.91,1.87,0.16,Mugg
Ekdala,mh,2,0.18,23.03,0.16,8.86,3,0.14,Mugg
Ekdala,mh,2,0.16,8.01,0.19,14.19,3.94,0.15,Mugg
Amnura,mh,1,0.16,9.32,0.17,9.18,0.97,0.02,Mugg
Amnura,mh,1,0.17,2.83,0.22,31.56,0.84,0.24,Mugg
Amnura,mh,1,0.11,11.19,0.15,16.17,1.3,0.38,Mugg
Ekdala,mh,2,0.11,3.86,0.17,14.15,1.09,0.25,Kheshari
Ekdala,mh,2,0.12,3.65,0.33,25.89,2.27,0.2,Mugg
Ekdala,mh,2,0.13,3.91,0.2,2.64,1.21,0.33,Kheshari
Ekdala,mh,2,0.16,5.64,0.22,1.98,1.37,0.39,Kheshari
Ekdala,mh,2,0.17,9.81,0.24,12.13,3.16,0.24,Mugg
Ekdala,mh,2,0.13,6.71,0.19,4.11,0.83,0.3,Kheshari
Ekdala,mh,2,0.14,8.1,0.21,11.97,0.74,0.45,Mugg
Ekdala,mh,2,0.18,13.91,0.24,22.65,1.08,0.72,Mugg
Ekdala,mh,2,0.17,23.48,0.27,6.58,1.29,0.71,Mugg
Ekdala,mh,2,0.17,8.81,0.19,16.59,0.24,0.61,Mugg
Ekdala,mh,2,0.07,7.38,0.16,3.86,0.82,0.23,Kheshari
Ekdala,mh,2,0.15,10.36,0.21,11.17,0.86,0.16,Mugg
Ekdala,mh,2,0.16,4.89,0.22,13.2,3.89,0.25,Kheshari
Ekdala,mh,2,0.18,7.52,0.21,16.82,0.78,0.3,Mugg
Ekdala,mh,2,0.16,9.53,0.19,23.52,0.47,0.28,Mugg
Amnura,ml,1,0.18,3.74,0.25,9.55,0.59,0.24,Kheshari
Amnura,ml,1,0.12,5.14,0.16,7.67,2.62,0.13,Kheshari
Ekdala,ml,2,0.12,1.93,0.4,15.64,1.27,0.13,Kheshari
Ekdala,ml,2,0.13,2.5,0.3,10.29,0.92,0.75,Kheshari
Ekdala,ml,2,0.15,2.15,0.26,4.81,1.23,0.22,Kheshari
Ekdala,ml,2,0.18,7.76,0.3,11.44,0.92,0.19,Mugg
Ekdala,ml,2,0.2,5.29,0.26,7.17,0.87,0.47,Kheshari
Ekdala,ml,2,0.17,5.19,0.27,13.43,1.68,0.53,Mugg
Ekdala,ml,2,0.18,4.59,0.17,9.94,0.83,0.43,Kheshari
Ekdala,ml,2,3.17,3.74,0.23,10.79,0.66,0.38,Kheshari
Ekdala,ml,2,0.18,11.41,0.32,18.83,0.85,0.39,Mugg
Ekdala,ml,2,0.18,2.41,0.24,28.13,1.01,0.12,Mugg
Ekdala,ml,2,0.17,3.43,0.26,11.51,0.64,0.07,Kheshari
Binshara,ml,3,0.15,8.56,0.2,6.67,0.8,0.11,Mugg
Binshara,ml,3,0.17,5.19,0.24,12.09,0.47,0.13,Kheshari
Binshara,ml,3,0.15,4.67,0.2,17.88,2.72,0.05,Mugg
Binshara,ml,3,0.19,2.57,0.29,9.33,1.28,0.13,Kheshari
Binshara,ml,3,0.18,3.88,0.22,10.6,0.93,0.16,Kheshari
Binshara,ml,3,0.1,4.45,0.02,18.34,1.97,0.32,Mugg
Binshara,ml,3,0.13,5.64,0.22,23.67,1.99,0.31,Mugg
Binshara,ml,3,0.18,40.2,0.35,31.94,1.7,0.58,Mugg
Binshara,ml,3,0.09,35.43,0.3,23.86,1.37,0.41,Mugg
Binshara,ml,3,0.13,12.72,0.17,8.44,1.35,0.33,Mugg
Binshara,ml,3,0.18,8.2,0.24,15.79,1.27,0.43,Mugg
Binshara,ml,3,0.19,27.47,0.3,9.71,0.87,0.77,Mugg
Binshara,ml,3,0.19,7.12,0.22,17.2,1.36,0.76,Mugg
Binshara,ml,3,0.2,2.38,0.23,16.86,0.5,0.5,Kheshari
Tarash,ml,3,0.09,1.94,0.34,12.09,1.85,0.48,Kheshari
Tarash,ml,3,0.14,4.58,0.36,14.73,1.79,0.48,Mugg
Tarash,ml,3,0.15,5.32,0.34,26.34,2.85,0.69,Mugg
Tarash,ml,3,0.14,30.6,0.26,6.89,0.81,0.65,Mugg
Tarash,ml,3,0.14,9.38,0.32,9.63,2.12,0.54,Mugg
Tarash,ml,3,0.11,4.65,0.35,20.12,1.76,0.79,Mugg
Tarash,ml,3,0.14,2.45,0.28,19.93,1.37,0.54,Mugg
Tarash,ml,3,0.18,7.06,0.36,20.39,1.8,0.52,Mugg
Tarash,ml,3,0.19,2.18,0.37,9.4,1.04,0.54,Kheshari
Tarash,ml,3,0.18,3.06,0.24,8.86,0.57,0.72,Kheshari
Tarash,l,3,0.17,1.51,0.25,18.15,0.57,0.71,Kheshari
Tarash,l,3,0.18,1.27,0.38,20.65,1.04,0.52,Mugg
Binshara,ml,3,0.17,6.87,0.34,17.2,2.57,0.29,Mugg
Binshara,ml,3,0.08,30.01,0.21,9.17,2.38,0.36,Mugg
Binshara,ml,3,0.15,4.32,0.4,10.33,2.98,0.44,Kheshari
Binshara,ml,3,0.18,3.09,0.31,6.24,1.24,0.79,Kheshari
Tarash,ml,3,0.18,2.15,0.36,7.32,1.57,1.1,Kheshari
